geometry;fid;id;name;extid;date
MultiPolygon (((520580.6711922351969406 5018898.12112175673246384, 520850.02865793346427381 5018467.27993269078433514, 520958.35618774336762726 5018598.93954584095627069, 520791.50516775739379227 5018842.55978513136506081, 520701.86711978638777509 5018965.92303927149623632, 520701.86711978638777509 5018965.92303927149623632, 520580.6711922351969406 5018898.12112175673246384)));2;92;Area served by pressure conduits;2;2000-01-01
MultiPolygon (((520580.6711922351969406 5018898.12112175673246384, 520850.02865793346427381 5018467.27993269078433514, 520842.98048243339871988 5018458.71368862129747868, 520726.27351898635970429 5018399.69457783177495003, 520560.31000442639924586 5018658.40240935143083334, 520488.42206496436847374 5018843.89104327186942101, 520574.95384394639404491 5018894.9226052314043045, 520580.6711922351969406 5018898.12112175673246384)));1;91;Gravitational basin;1;2000-01-01
