Giulian_day; rain_mm; Tmax; Tmin; et0; kcb; lai; pday; irrig_mm; peff_mm; h2o_dispL_mm; h2o_disp_mm; interception_mm; runoff_mm; infiltration_mm; eva_pot_mm; eva_mm; perc1_mm; theta1_mm; ponding_mm; trasp_pot_mm; trasp_act_mm; ks; thickness_II_m; wat_table_depth_under_root_m; capflux_mm; perc2_mm; theta2_mm; theta_old_mm; rawbig; rawinf; wat_table_depth_m; distr_irr_mm; priv_well_irr_mm; espperc1; espperc2; irr_loss_mm
           1 ;   0.00000000     ;   5.85697365     ;   1.46588683     ;  0.594571352     ;  0.300000012     ;  0.500000000     ;  0.647390962     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;  0.529544950     ;  0.529544950     ;  0.372468144     ;   33.5960007     ;   0.00000000     ;  0.178371400     ;  0.178371400     ;   1.00000000     ;  0.649999976     ;   45.6079788     ;   0.00000000     ;  0.312261343     ;   216.943466     ;   217.061630     ;   153.966599     ;   107.895027     ;   46.3579788     ;   0.00000000     ;   0.00000000     ;   1.00000429     ;   1.00001788     ;   0.00000000    
           2 ;   0.00000000     ;   5.72366762     ;   2.01759267     ;  0.715804100     ;  0.300000012     ;  0.500000000     ;  0.671683311     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;  0.651901126     ;  0.651901126     ;  0.260588855     ;   32.6835022     ;   0.00000000     ;  0.214741230     ;  0.214741230     ;   1.00000000     ;  0.649999976     ;   45.6079788     ;   0.00000000     ;  0.308421910     ;   216.680862     ;   216.943451     ;   151.852203     ;   106.384743     ;   46.3579788     ;   0.00000000     ;   0.00000000     ;   1.00000429     ;   1.00001788     ;   0.00000000    
           3 ;   0.00000000     ;   9.76437855     ;  0.712688029     ;  0.576421738     ;  0.300000012     ;  0.500000000     ;  0.665334284     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;  0.486354351     ;  0.486354351     ;  0.187504634     ;   32.0096474     ;   0.00000000     ;  0.172926530     ;  0.172926530     ;   1.00000000     ;  0.649999976     ;   45.6079788     ;   0.00000000     ;  0.302829832     ;   216.392593     ;   216.680847     ;   152.404816     ;   106.779472     ;   46.3579788     ;   0.00000000     ;   0.00000000     ;   1.00000429     ;   1.00001788     ;   0.00000000    
           4 ;   0.00000000     ;   12.6947699     ;   1.85733092     ;  0.572234690     ;  0.300000012     ;  0.500000000     ;  0.673628747     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;  0.474443853     ;  0.474443853     ;  0.142826259     ;   31.3923721     ;   0.00000000     ;  0.171670407     ;  0.171670407     ;   1.00000000     ;  0.649999976     ;   45.6079788     ;   0.00000000     ;  0.296799809     ;   216.066925     ;   216.392578     ;   151.682861     ;   106.263786     ;   46.3579788     ;   0.00000000     ;   0.00000000     ;   1.00000429     ;   1.00001788     ;   0.00000000    
           5 ;   0.00000000     ;   13.3743019     ;  0.833971679     ;  0.861000717     ;  0.300000012     ;  0.500000000     ;  0.674155414     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;  0.773468137     ;  0.773468137     ;  0.104409724     ;   30.5144958     ;   0.00000000     ;  0.258300215     ;  0.258300215     ;   1.00000000     ;  0.649999976     ;   45.6079788     ;   0.00000000     ;  0.289513230     ;   215.623566     ;   216.066925     ;   151.637024     ;   106.231041     ;   46.3579788     ;   0.00000000     ;   0.00000000     ;   1.00000429     ;   1.00001788     ;   0.00000000    
           6 ;   0.00000000     ;   7.25974751     ;  -1.03943610     ;  0.305870473     ;  0.300000012     ;  0.500000000     ;  0.658729255     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;  0.253566861     ;  0.253566861     ;   7.84924999E-02 ;   30.1824398     ;   0.00000000     ;   9.17611495E-02 ;   9.17611495E-02 ;   1.00000000     ;  0.649999976     ;   45.6079788     ;   0.00000000     ;  0.282388598     ;   215.327896     ;   215.623535     ;   152.979706     ;   107.190109     ;   46.3579788     ;   0.00000000     ;   0.00000000     ;   1.00000429     ;   1.00001788     ;   0.00000000    
           7 ;   0.00000000     ;   4.54703856     ;  -1.32591426     ;  0.188262552     ;  0.300000012     ;  0.500000000     ;  0.686186910     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;  0.143035099     ;  0.143035099     ;   6.92061335E-02 ;   29.9701996     ;   0.00000000     ;   5.64787723E-02 ;   5.64787723E-02 ;   1.00000000     ;  0.649999976     ;   45.6079788     ;   0.00000000     ;  0.277199298     ;   215.063370     ;   215.327881     ;   150.589813     ;   105.483032     ;   46.3579788     ;   0.00000000     ;   0.00000000     ;   1.00000429     ;   1.00001788     ;   0.00000000    
           8 ;   0.00000000     ;   4.93977165     ;  -1.70483887     ;  0.100155182     ;  0.300000012     ;  0.500000000     ;  0.692019463     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   7.70142302E-02 ;   7.70142302E-02 ;   6.37529045E-02 ;   29.8294334     ;   0.00000000     ;   3.00465561E-02 ;   3.00465561E-02 ;   1.00000000     ;  0.649999976     ;   45.6079788     ;   0.00000000     ;  0.272616267     ;   214.824417     ;   215.063370     ;   150.082138     ;   105.120422     ;   46.3579788     ;   0.00000000     ;   0.00000000     ;   1.00000429     ;   1.00001788     ;   0.00000000    
           9 ;   0.00000000     ;   5.13083172     ;  -1.58921695     ;  0.209797248     ;  0.300000012     ;  0.500000000     ;  0.695717573     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;  0.164102823     ;  0.164102823     ;   5.87630421E-02 ;   29.6065617     ;   0.00000000     ;   6.29391745E-02 ;   6.29391745E-02 ;   1.00000000     ;  0.649999976     ;   45.6079788     ;   0.00000000     ;  0.268086970     ;   214.552109     ;   214.824402     ;   149.760269     ;   104.890503     ;   46.3579788     ;   0.00000000     ;   0.00000000     ;   1.00000429     ;   1.00001788     ;   0.00000000    
          10 ;   0.00000000     ;   4.06485605     ;  -2.36995149     ;  0.189203992     ;  0.300000012     ;  0.500000000     ;  0.690918326     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;  0.146409556     ;  0.146409556     ;   5.32594845E-02 ;   29.4068928     ;   0.00000000     ;   5.67612052E-02 ;   5.67612052E-02 ;   1.00000000     ;  0.649999976     ;   45.6079788     ;   0.00000000     ;  0.263348520     ;   214.285278     ;   214.552109     ;   150.177979     ;   105.188881     ;   46.3579788     ;   0.00000000     ;   0.00000000     ;   1.00000429     ;   1.00001788     ;   0.00000000    
