Giulian_day; rain_mm; Tmax; Tmin; et0; kcb; lai; pday; irrig_mm; peff_mm; h2o_dispL_mm; h2o_disp_mm; interception_mm; runoff_mm; infiltration_mm; eva_pot_mm; eva_mm; perc1_mm; theta1_mm; ponding_mm; trasp_pot_mm; trasp_act_mm; ks; thickness_II_m; wat_table_depth_under_root_m; capflux_mm; perc2_mm; theta2_mm; theta_old_mm; rawbig; rawinf; wat_table_depth_m; distr_irr_mm; priv_well_irr_mm; espperc1; espperc2; irr_loss_mm
           1 ;   0.00000000     ;   11.5171986     ;   1.97116792     ;  0.961248696     ;  0.300000012     ;  0.500000000     ;  0.699999988     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;  0.886654139     ;  0.886654139     ;  0.164795980     ;   31.4827423     ;   0.00000000     ;  0.288374573     ;  0.288374573     ;   1.00000000     ;  0.649999976     ;   45.6079788     ;   0.00000000     ;  0.198113471     ;   209.993576     ;   210.315292     ;   149.387527     ;   104.624260     ;   46.3579788     ;   0.00000000     ;   0.00000000     ;   1.00000000     ;   1.00000000     ;   0.00000000    
           2 ;   0.00000000     ;   8.22917747     ; -0.644869804     ;  0.317858845     ;  0.300000012     ;  0.500000000     ;  0.652998865     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;  0.266399950     ;  0.266399950     ;  0.118969284     ;   31.0973701     ;   0.00000000     ;   9.53576565E-02 ;   9.53576565E-02 ;   1.00000000     ;  0.649999976     ;   45.6079788     ;   0.00000000     ;  0.194649085     ;   209.822510     ;   209.993576     ;   153.478485     ;   107.546371     ;   46.3579788     ;   0.00000000     ;   0.00000000     ;   1.00000000     ;   1.00000000     ;   0.00000000    
           3 ;   0.00000000     ;   7.65569830     ;  -1.26598287     ;  0.330608279     ;  0.300000012     ;  0.500000000     ;  0.685529709     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;  0.268667310     ;  0.268667310     ;  0.100906350     ;   30.7278023     ;   0.00000000     ;   9.91824940E-02 ;   9.91824940E-02 ;   1.00000000     ;  0.649999976     ;   45.6079788     ;   0.00000000     ;  0.192273155     ;   209.631943     ;   209.822495     ;   150.647003     ;   105.523895     ;   46.3579788     ;   0.00000000     ;   0.00000000     ;   1.00000000     ;   1.00000000     ;   0.00000000    
           4 ;   0.00000000     ;   8.74480152     ;  0.931456506     ;  0.433768958     ;  0.300000012     ;  0.500000000     ;  0.685285985     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;  0.354478717     ;  0.354478717     ;   8.45682994E-02 ;   30.2887554     ;   0.00000000     ;  0.130130693     ;  0.130130693     ;   1.00000000     ;  0.649999976     ;   45.6079788     ;   0.00000000     ;  0.189529851     ;   209.396820     ;   209.631927     ;   150.668228     ;   105.539040     ;   46.3579788     ;   0.00000000     ;   0.00000000     ;   1.00000000     ;   1.00000000     ;   0.00000000    
           5 ;   0.00000000     ;   9.77715683     ;   1.25027764     ;  0.357696384     ;  0.300000012     ;  0.500000000     ;  0.680615604     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;  0.292887002     ;  0.292887002     ;   7.04629272E-02 ;   29.9254036     ;   0.00000000     ;  0.107308939     ;  0.107308939     ;   1.00000000     ;  0.649999976     ;   45.6079788     ;   0.00000000     ;  0.186574861     ;   209.173386     ;   209.396805     ;   151.074738     ;   105.829407     ;   46.3579788     ;   0.00000000     ;   0.00000000     ;   1.00000000     ;   1.00000000     ;   0.00000000    
           6 ;   0.00000000     ;   12.0898619     ;   2.73562789     ;  0.957926810     ;  0.300000012     ;  0.500000000     ;  0.683992147     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;  0.871021330     ;  0.871021330     ;   5.35266809E-02 ;   29.0008602     ;   0.00000000     ;  0.287378103     ;  0.287378103     ;   1.00000000     ;  0.649999976     ;   45.6079788     ;   0.00000000     ;  0.182664201     ;   208.756866     ;   209.173386     ;   150.780838     ;   105.619484     ;   46.3579788     ;   0.00000000     ;   0.00000000     ;   1.00000000     ;   1.00000000     ;   0.00000000    
           7 ;   0.00000000     ;   8.89899635     ;   2.23746586     ;  0.779776633     ;  0.300000012     ;  0.500000000     ;  0.653663993     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;  0.711939991     ;  0.711939991     ;   3.57862301E-02 ;   28.2531376     ;   0.00000000     ;  0.233933002     ;  0.233933002     ;   1.00000000     ;  0.649999976     ;   45.6079788     ;   0.00000000     ;  0.177740395     ;   208.381012     ;   208.756851     ;   153.420593     ;   107.505028     ;   46.3579788     ;   0.00000000     ;   0.00000000     ;   1.00000000     ;   1.00000000     ;   0.00000000    
           8 ;   0.00000000     ;   9.41146278     ;   2.06526256     ;   1.59297025     ;  0.300000012     ;  0.500000000     ;  0.662165046     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   1.55387318     ;   1.55387318     ;   2.12658495E-02 ;   26.6779976     ;   0.00000000     ;  0.477891088     ;  0.477891088     ;   1.00000000     ;  0.649999976     ;   45.6079788     ;   0.00000000     ;  0.171863437     ;   207.752533     ;   208.381012     ;   152.680664     ;   106.976501     ;   46.3579788     ;   0.00000000     ;   0.00000000     ;   1.00000000     ;   1.00000000     ;   0.00000000    
           9 ;   0.00000000     ;   13.4918070     ;  0.574876547     ;   1.02536142     ;  0.300000012     ;  0.500000000     ;  0.618729413     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;  0.939721346     ;  0.939721346     ;   1.05599575E-02 ;   25.7277203     ;   0.00000000     ;  0.307608426     ;  0.307608426     ;   1.00000000     ;  0.649999976     ;   45.6079788     ;   0.00000000     ;  0.165427208     ;   207.290070     ;   207.752518     ;   156.461288     ;   109.676956     ;   46.3579788     ;   0.00000000     ;   0.00000000     ;   1.00000000     ;   1.00000000     ;   0.00000000    
          10 ;   0.00000000     ;   11.8282700     ;   2.68155122     ;   1.42247641     ;  0.300000012     ;  0.500000000     ;  0.650106788     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   1.35830522     ;   1.35830522     ;   5.76365879E-03 ;   24.3636456     ;   0.00000000     ;  0.426742911     ;  0.426742911     ;   1.00000000     ;  0.649999976     ;   45.6079788     ;   0.00000000     ;  0.159636527     ;   206.709457     ;   207.290054     ;   153.730209     ;   107.726181     ;   46.3579788     ;   0.00000000     ;   0.00000000     ;   1.00000000     ;   1.00000000     ;   0.00000000    
