Giulian_day; rain_mm; Tmax; Tmin; et0; kcb; lai; pday; irrig_mm; peff_mm; h2o_dispL_mm; h2o_disp_mm; interception_mm; runoff_mm; infiltration_mm; eva_pot_mm; eva_mm; perc1_mm; theta1_mm; ponding_mm; trasp_pot_mm; trasp_act_mm; ks; thickness_II_m; wat_table_depth_under_root_m; capflux_mm; perc2_mm; theta2_mm; theta_old_mm; rawbig; rawinf; wat_table_depth_m; distr_irr_mm; priv_well_irr_mm; espperc1; espperc2; irr_loss_mm
           1 ;   0.00000000     ;   11.5411882     ;   1.96729088     ;  0.966100037     ;   0.00000000     ;   0.00000000     ;  0.699999988     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   1.15932024     ;   1.15932024     ;  0.155523717     ;   26.3255577     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   1.00000000     ;  0.899999976     ;   44.2080307     ;   0.00000000     ;  0.199867785     ;   264.084015     ;   264.128387     ;   190.367172     ;   136.175262     ;   44.2080307     ;   0.00000000     ;   0.00000000     ;   1.00000000     ;   1.00000000     ;   0.00000000    
           2 ;   0.00000000     ;   8.24497986     ; -0.637623727     ;  0.319259793     ;   0.00000000     ;   0.00000000     ;  0.653627157     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;  0.383111775     ;  0.383111775     ;   9.94915515E-02 ;   25.8429546     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   1.00000000     ;  0.899999976     ;   44.2080307     ;   0.00000000     ;  0.198934868     ;   263.984650     ;   264.084015     ;   195.253632     ;   139.665588     ;   44.2080307     ;   0.00000000     ;   0.00000000     ;   1.00000000     ;   1.00000000     ;   0.00000000    
           3 ;   0.00000000     ;   7.66870880     ;  -1.26426983     ;  0.331407666     ;   0.00000000     ;   0.00000000     ;  0.684675515     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;  0.397689253     ;  0.397689253     ;   7.91702643E-02 ;   25.3661003     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   1.00000000     ;  0.899999976     ;   44.2080307     ;   0.00000000     ;  0.197646976     ;   263.866180     ;   263.984650     ;   191.981964     ;   137.328674     ;   44.2080307     ;   0.00000000     ;   0.00000000     ;   1.00000000     ;   1.00000000     ;   0.00000000    
           4 ;   0.00000000     ;   8.74936485     ;  0.930356681     ;  0.434605539     ;   0.00000000     ;   0.00000000     ;  0.684092402     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;  0.521526694     ;  0.521526694     ;   6.14036024E-02 ;   24.7831764     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   1.00000000     ;  0.899999976     ;   44.2080307     ;   0.00000000     ;  0.196163610     ;   263.731476     ;   263.866150     ;   192.043396     ;   137.372559     ;   44.2080307     ;   0.00000000     ;   0.00000000     ;   1.00000000     ;   1.00000000     ;   0.00000000    
           5 ;   0.00000000     ;   9.79854298     ;   1.24844766     ;  0.359131962     ;   0.00000000     ;   0.00000000     ;  0.679138899     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;  0.430958420     ;  0.430958420     ;   4.68869843E-02 ;   24.3053379     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   1.00000000     ;  0.899999976     ;   44.2080307     ;   0.00000000     ;  0.194513693     ;   263.583832     ;   263.731476     ;   192.565369     ;   137.745392     ;   44.2080307     ;   0.00000000     ;   0.00000000     ;   1.00000000     ;   1.00000000     ;   0.00000000    
           6 ;   0.00000000     ;   12.1069775     ;   2.74685979     ;  0.958498776     ;   0.00000000     ;   0.00000000     ;  0.682761669     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   1.15019846     ;   1.15019846     ;   3.16594839E-02 ;   23.1234779     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   1.00000000     ;  0.899999976     ;   44.2080307     ;   0.00000000     ;  0.192742586     ;   263.422760     ;   263.583832     ;   192.183624     ;   137.472717     ;   44.2080307     ;   0.00000000     ;   0.00000000     ;   1.00000000     ;   1.00000000     ;   0.00000000    
           7 ;   0.00000000     ;   8.91877079     ;   2.23930240     ;  0.782495618     ;   0.00000000     ;   0.00000000     ;  0.653992057     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;  0.938994765     ;  0.938994765     ;   1.74600966E-02 ;   22.1670227     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   1.00000000     ;  0.899999976     ;   44.2080307     ;   0.00000000     ;  0.190815166     ;   263.249359     ;   263.422760     ;   195.215179     ;   139.638123     ;   44.2080307     ;   0.00000000     ;   0.00000000     ;   1.00000000     ;   1.00000000     ;   0.00000000    
           8 ;   0.00000000     ;   9.41461658     ;   2.08041215     ;   1.59883761     ;   0.00000000     ;   0.00000000     ;  0.662440181     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   1.91860545     ;   1.91860545     ;   8.33922438E-03 ;   20.2400799     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   1.00000000     ;  0.899999976     ;   44.2080307     ;   0.00000000     ;  0.188807696     ;   263.068939     ;   263.249329     ;   194.324966     ;   139.002258     ;   44.2080307     ;   0.00000000     ;   0.00000000     ;   1.00000000     ;   1.00000000     ;   0.00000000    
           9 ;   0.00000000     ;   13.5109320     ;  0.594119728     ;   1.03155625     ;   0.00000000     ;   0.00000000     ;  0.623255789     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   1.23786736     ;   1.23786736     ;   2.82887602E-03 ;   18.9993877     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   1.00000000     ;  0.899999976     ;   44.2080307     ;   0.00000000     ;  0.186751619     ;   262.884979     ;   263.068939     ;   198.453949     ;   141.951538     ;   44.2080307     ;   0.00000000     ;   0.00000000     ;   1.00000000     ;   1.00000000     ;   0.00000000    
          10 ;   0.00000000     ;   11.8324223     ;   2.67760348     ;   1.43020868     ;   0.00000000     ;   0.00000000     ;  0.650485277     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   1.71625066     ;   1.66947150     ;   1.08234305E-03 ;   17.3288326     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   1.00000000     ;  0.899999976     ;   44.2080307     ;   0.00000000     ;  0.184704348     ;   262.701324     ;   262.884979     ;   195.584686     ;   139.902069     ;   44.2080307     ;   0.00000000     ;   0.00000000     ;   1.00000000     ;   1.00000000     ;   0.00000000    
