timestamp,idr_tmax,idr_tmin,idr_ptot,idr_umax,idr_umin,idr_vmed,idr_rgcorr
2000/01/01,8.32,1.65,0,100,43.73,0.865,3.434
2000/01/02,7.18,0.11,0,100,66.72,0.469,4.098
2000/01/03,7.91,-0.48,0,100,75.15,0.502,1.582
2000/01/04,8.56,1.07,0,100,73.34,0.682,3.385
2000/01/05,9.35,0.58,0,100,74.43,0.593,4.707
2000/01/06,11.67,1.66,0,100,40.11,1.016,5.718
2000/01/07,9.11,1.83,0,96.62,35.8,0.928,5.696
2000/01/08,11.21,2.11,0,85.66,17.29,1.765,6.917
2000/01/09,12.4,0.56,0,100,31.25,0.999,4.123
2000/01/10,12.7,2.88,0,90,19.61,1.557,5.865
2000/01/11,10.85,1.46,0,100,59.06,0.675,6.77
2000/01/12,12.72,1.51,0,94,22,1.291,5.396
2000/01/13,8.73,0.1,0,96.62,33.94,0.982,5.823
2000/01/14,12.78,2.18,0,97.34,25.68,1.011,6.94
2000/01/15,6.87,1.39,0,93.46,42.55,0.925,6.649
2000/01/16,10.15,1.41,0,100,53.92,0.785,5.893
2000/01/17,6.9,2.16,0,71.91,19.42,2.021,6.196
2000/01/18,5.73,-1.78,0,66.74,14.4,1.746,6.616
2000/01/19,5.75,-2.16,0,93,36.37,0.57,6.368
2000/01/20,5.8,2.36,1.98,97.87,66.91,0.868,1.17
2000/01/21,7.92,1.6,0,100,56.76,0.872,1.939
2000/01/22,7.57,0.82,6.33,100,60.46,0.936,5.954
2000/01/23,8.85,4.45,0,100,78.36,0.778,4.703
2000/01/24,9.26,2.56,0,100,67.33,0.696,3.118
2000/01/25,13,-0.1,0,100,46.32,0.693,7.015
2000/01/26,12.94,2.01,0,100,38.67,1.17,5.21
2000/01/27,14.11,4.68,0,100,47.36,1.218,5.271
2000/01/28,7.77,0.59,0,98.9,43.79,0.929,7.366
2000/01/29,4.76,-1.03,0,91.05,42.28,0.717,7.208
2000/01/30,4.94,-1.42,6.68,94.23,48.08,1.368,2.782
2000/01/31,11.01,4.42,13.81,100,66.58,3.27,2.316
2000/02/01,12.82,3.22,7.72,100,63.72,1.749,1.386
2000/02/02,9.41,3.47,1.34,100,66.6,0.658,6.734
2000/02/03,7.81,3.19,26.19,100,76.76,0.937,1.313
2000/02/04,7.24,1.48,0,100,81.3,0.589,2.02
2000/02/05,6.88,-0.86,0,100,57.16,0.588,9.046
2000/02/06,8.29,0.67,0,90,30.44,0.942,8.317
2000/02/07,6.05,-1.72,0,98.9,47.42,0.625,9.396
2000/02/08,6.88,2.99,12.75,100,82.15,1.037,0.661
2000/02/09,10.15,7,1.71,100,95.85,0.695,0.579
2000/02/10,16.8,5.6,0,100,72.87,0.661,2.94
2000/02/11,16.44,5.04,0,100,69.6,0.662,3.044
2000/02/12,16.3,4.92,0,100,67.41,0.588,3.855
2000/02/13,16.35,4.42,0,100,62.55,0.555,8.364
2000/02/14,15.81,2.38,0,100,55.35,0.544,9.04
2000/02/15,15,3.84,0,100,63.96,0.631,3.311
2000/02/16,14.14,2.81,0,100,64.42,0.62,10.45
2000/02/17,12.73,2.28,0,100,44.05,0.758,9.484
2000/02/18,10.08,1.36,0,98.9,36.46,0.714,9.669
2000/02/19,8.63,-0.41,0,100,51.19,0.595,9.943
2000/02/20,8.02,0.07,0,100,48.34,0.748,9.943
2000/02/21,9.42,-0.16,0,100,49.53,0.565,10.029
2000/02/22,10.44,0.57,0,100,45.31,0.844,13.152
2000/02/23,9.74,0.81,0,98.8,35.79,0.929,12.584
2000/02/24,8.71,1.63,0,85.05,26.75,0.815,12.568
2000/02/25,6.39,-0.49,0,93.32,44.26,0.664,11.332
2000/02/26,7.74,1.55,0,95.79,47.19,0.567,13.171
2000/02/27,6.74,-0.47,0,95.89,46.69,0.65,10.21
2000/02/28,7.97,-0.08,0,77.08,21.08,1.189,14.433
2000/02/29,6.87,-0.09,1.4,84.87,34.88,1.108,9.287
2000/03/01,5.77,-0.1,2.81,92.66,48.67,1.027,4.142
2000/03/02,9.93,4.65,12.43,100,81.11,0.8,1.495
2000/03/03,11.49,1.25,0,100,63.01,0.775,8.771
2000/03/04,13.71,1.61,2.27,100,52.97,0.649,13.681
2000/03/05,9.15,7.24,24.67,100,97.16,1.124,0.586
2000/03/06,10.19,5.51,6.39,100,78.34,2.424,2.868
2000/03/07,13.06,8.71,1.17,93,61.63,3.378,2.19
2000/03/08,12.52,7.69,1.22,78.23,33.8,2.819,3.602
2000/03/09,13.16,7.51,1.26,100,66.33,0.864,5.978
2000/03/10,13.72,4.81,0,100,65.08,0.773,6.532
2000/03/11,12.36,3.61,0,100,53.58,0.843,15.212
2000/03/12,11.59,4.69,0,100,61.36,1.043,6.218
2000/03/13,12.33,5.52,0,100,50.4,1.045,12.728
2000/03/14,12.4,2.78,0,100,50.82,0.769,16.847
2000/03/15,14.06,2.19,0,100,52.01,0.628,15.545
2000/03/16,14.92,7.08,1.68,100,62.48,0.844,5.963
2000/03/17,13.7,10.87,2.6,100,95.4,1.315,1.325
2000/03/18,20.49,12.25,4.61,100,68.55,1.536,3.204
2000/03/19,21.48,10.04,0,100,42.5,2.384,17.295
2000/03/20,18.95,8.75,2.64,100,55.35,1.433,6.538
2000/03/21,16.19,7.54,2.34,100,57.88,1.089,7.655
2000/03/22,14.18,4.41,0,90.22,27.93,0.875,18.841
2000/03/23,14.33,4.81,0,84.94,22.95,1.121,19.731
2000/03/24,8.98,5.1,8.17,95.34,61.07,1.526,4.086
2000/03/25,18.45,9.79,10.96,100,67.89,1.296,3.607
2000/03/26,17.3,8.07,3.55,100,62.45,1.021,8.121
2000/03/27,18.32,6.62,0,89,27.68,1.729,17.71
2000/03/28,17.57,6.72,0,88,28.18,1.497,20.136
2000/03/29,16.91,5.56,0,85,23.11,1.808,20.306
2000/03/30,20.73,4.13,0,100,34.11,0.893,17.468
2000/03/31,19.71,6.13,0,100,45.95,0.686,19.082
2000/04/01,19.46,6.3,0,100,58.08,0.466,14.9
2000/04/02,19.85,11.21,0,100,61.57,0.522,14.92
2000/04/03,20.83,10.45,0,100,59.54,0.562,16.151
2000/04/04,20.71,11.25,0,100,61.87,0.545,13.113
2000/04/05,21.05,11.94,14.99,100,54.16,0.537,13.019
2000/04/06,15.02,13.28,23.29,100,95.91,1.529,0.684
2000/04/07,19.03,10.15,13.12,100,67.93,1.12,6.523
2000/04/08,13.17,4.18,0,79.2,21.61,2.922,21.643
2000/04/09,19.69,3.09,0,100,30.53,1.091,20.377
2000/04/10,19.99,6.49,0,95.02,28.6,1.238,19.5
2000/04/11,23.61,6.85,0,100,34.23,1.016,20.196
2000/04/12,25.52,9.5,0,100,36.04,1.1,19.887
2000/04/13,23.16,9.24,0,100,48.98,0.594,18.274
2000/04/14,24.16,10.58,0,100,50.78,0.711,21.3
2000/04/15,23.15,13.29,3.96,100,53.74,0.844,16.153
2000/04/16,21.88,14.63,1.87,100,60.34,0.914,13.648
2000/04/17,23.03,13.53,0,100,59.07,0.625,13.214
2000/04/18,24.18,12.19,0,100,44.57,0.796,22.029
2000/04/19,23.81,15.69,0,100,59.39,0.928,16.176
2000/04/20,23.31,13.32,0,100,56.23,0.844,13.842
2000/04/21,23.54,12.71,0,95.59,36.64,1.516,13.874
2000/04/22,19.01,10.27,0,70.56,19.65,1.909,23.277
2000/04/23,19.84,5.2,0,84.43,18.51,1.186,24.217
2000/04/24,22.95,5.6,0,100,27.54,1.321,23.145
2000/04/25,21.61,8.5,0,91,28.88,1.019,22.586
2000/04/26,22.15,7.29,0,100,30.09,0.84,22.895
2000/04/27,21.97,9,0,97.31,32.76,0.861,21.159
2000/04/28,19.82,12.63,1.14,93.61,44.54,1.285,10.439
2000/04/29,16.01,13.64,12.5,95,70.97,1.613,3.513
2000/04/30,19.36,14.77,1.75,100,69.07,1.402,3.509
2000/05/01,22.83,15.33,0,100,55.92,0.983,18
2000/05/02,22.75,15.79,0,95.24,48.66,1.229,13.504
2000/05/03,17.41,14.32,1.74,92,61.44,0.977,3.797
2000/05/04,17.77,16.03,7.22,100,85.76,1.089,2.011
2000/05/05,24.51,17.6,0,100,64.48,0.7,12.699
2000/05/06,26.74,14.42,0,100,46.69,0.892,24.752
2000/05/07,27.23,15.55,1.3,100,51.45,0.628,18.483
2000/05/08,27.18,16.4,0,100,49,0.887,17.528
2000/05/09,24.09,15.79,18.34,100,63.07,1.172,11.131
2000/05/10,22.31,17.31,12.33,100,71.16,1.201,6.223
2000/05/11,27.86,15.75,2.41,100,57.08,0.758,15.484
2000/05/12,24.61,14.78,0,100,47.52,0.94,13.8
2000/05/13,25.15,14.25,0,100,44.7,0.818,21.925
2000/05/14,26.9,14.56,0,100,46.49,1.228,16.423
2000/05/15,27.61,13.62,1.23,100,48.23,0.853,18.901
2000/05/16,27,15.16,1.97,100,43.82,0.783,21.903
2000/05/17,29.32,15.75,0,100,38.53,0.884,22.079
2000/05/18,29.4,15.63,0,100,40.14,0.675,26.447
2000/05/19,29.09,16.42,0,100,42.71,0.586,25.992
2000/05/20,29.41,18.52,0,100,47.52,0.73,19.802
2000/05/21,28.58,19.19,0,100,50.15,0.931,13.812
2000/05/22,29.57,18.63,0,100,47.23,0.929,21.891
2000/05/23,29.12,18.22,3.86,100,53.66,0.937,15.25
2000/05/24,21.59,16.99,9.95,100,69.17,1.391,4.036
2000/05/25,27.01,17.44,4.81,97.92,46.21,1.273,13.632
2000/05/26,28.89,16.33,0,100,45.45,1.063,17.665
2000/05/27,27.37,15.88,0,100,46.86,0.847,25.225
2000/05/28,27.41,15.8,0,100,43.2,0.794,23.008
2000/05/29,28.4,17.45,0,100,45.71,0.743,19.577
2000/05/30,28.18,18.35,0,97,46.93,0.812,16.556
2000/05/31,28.4,18.47,0,100,47.97,1.037,19.57
2000/06/01,29.27,18.09,0,97.66,43.75,0.852,17.951
2000/06/02,29.76,16.27,0,100,38.88,0.713,22.509
2000/06/03,30.23,17.67,0,98.02,40.05,0.72,24.537
2000/06/04,30.08,18.42,6.34,99.2,43.48,1.014,18.297
2000/06/05,25.91,18.43,4.76,100,61.05,1.421,6
2000/06/06,26.63,17.42,0,100,50.4,0.989,19.8
2000/06/07,27.71,18.26,5.5,95.37,48.19,0.618,13.661
2000/06/08,29.79,16.54,4.74,100,47.35,0.796,14.486
2000/06/09,28.43,17.87,0,100,52.74,0.786,11.52
2000/06/10,29.83,17.71,7.3,100,48.28,0.855,15.261
2000/06/11,30.18,18.22,0,100,47.21,0.692,21.898
2000/06/12,29.35,20.51,19.51,96.99,54.11,0.758,15.614
2000/06/13,29.5,19.86,10.76,100,56.75,0.709,17.504
2000/06/14,29.75,18.04,0,87.02,35.65,1.265,25.237
2000/06/15,28.85,17.01,0,100,44.34,0.673,26.749
2000/06/16,29.14,17.62,0,98.11,44.33,0.749,26.731
2000/06/17,29.93,19.87,0,93,45.48,0.775,17.403
2000/06/18,30.26,18.88,0,93,41.48,0.816,20.222
2000/06/19,27.03,19.19,0,91,48.1,0.631,7.186
2000/06/20,30.21,18.74,0,100,46.35,0.85,22.407
2000/06/21,28.92,19.37,28.75,100,61.62,0.732,13.091
2000/06/22,29.05,18.63,0,100,55.26,0.778,19.946
